fdcId,description,Calcium(Milligrams),Calories,Iron(Milligrams),Magnesium(Milligrams),Potassium(Milligrams),Protein(Grams),Vitamin A(Micrograms),Vitamin B-12(Micrograms),Vitamin C(Milligrams),Vitamin D(Micrograms),Zinc(Milligrams)
2705772,"Cheese,  with wine",1380.0,307.0,0.95,34.0,295.0,16.1,270.0,1.52,0.0,6.5,2.21
2705778,"Cheese, cottage cheese, with gelatin dessert",49.0,83.0,0.01,5.0,67.0,6.82,19.0,0.36,0.0,0.1,0.25
2705779,"Cheese, cottage cheese, with gelatin dessert and fruit",39.0,75.0,0.1,7.0,85.0,5.32,19.0,0.27,0.8,0.0,0.22
2705780,"Cheese, cottage cheese, with gelatin dessert and vegetables",61.0,85.0,0.02,7.0,103.0,8.03,43.0,0.44,3.8,0.1,0.31
2705822,"Beef, NFS",18.0,231.0,2.66,20.0,319.0,27.1,4.0,2.28,0.0,0.1,5.75
2705824,"Beef, steak, NFS",16.0,229.0,2.64,21.0,321.0,27.0,5.0,2.04,0.0,0.1,5.08
2705825,"Beef, steak, chuck",13.0,225.0,3.23,23.0,308.0,26.0,7.0,3.65,0.0,0.1,9.77
2705826,"Beef, steak, cube",18.0,187.0,3.12,16.0,417.0,28.8,5.0,2.19,0.0,0.0,4.93
2705827,"Beef, steak, flank",7.0,243.0,2.42,23.0,296.0,29.1,7.0,2.89,0.0,0.1,8.0
2705828,"Beef, steak, ribeye, NS as to fat eaten",10.0,260.0,2.32,23.0,270.0,25.0,6.0,2.16,0.0,0.2,6.24
2705829,"Beef, steak, ribeye, lean and fat eaten",11.0,289.0,2.22,22.0,258.0,23.5,8.0,2.08,0.0,0.2,5.86
2705830,"Beef, steak, ribeye, lean only eaten",9.0,230.0,2.42,24.0,283.0,26.5,4.0,2.24,0.0,0.1,6.62
2705831,"Beef, steak, round",18.0,166.0,3.21,17.0,430.0,29.7,5.0,2.26,0.0,0.0,5.08
2705832,"Beef, steak, sirloin, NS as to fat eaten",17.0,239.0,1.99,22.0,315.0,27.1,1.0,1.69,0.0,0.2,4.7
2705833,"Beef, steak, sirloin, lean and fat eaten",19.0,262.0,1.68,22.0,325.0,26.2,0.0,1.55,0.0,0.3,4.71
2705834,"Beef, steak, sirloin, lean only eaten",15.0,216.0,2.3,23.0,305.0,28.0,1.0,1.82,0.0,0.2,4.68
2705835,"Beef, steak, strip, NS as to fat eaten",17.0,239.0,1.99,22.0,315.0,27.1,1.0,1.69,0.0,0.2,4.7
2705836,"Beef, steak, strip, lean and fat eaten",19.0,262.0,1.68,22.0,325.0,26.2,0.0,1.55,0.0,0.3,4.71
2705837,"Beef, steak, strip, lean only eaten",15.0,216.0,2.3,23.0,305.0,28.0,1.0,1.82,0.0,0.2,4.68
2705838,"Beef, steak, T-bone, NS as to fat eaten",19.0,252.0,3.05,21.0,267.0,26.2,7.0,2.06,0.0,0.1,4.28
2705839,"Beef, steak, T-bone,  lean and fat eaten",19.0,274.0,2.98,20.0,255.0,25.2,7.0,2.01,0.0,0.1,4.1
2705840,"Beef, steak, T-bone, lean only eaten",19.0,230.0,3.13,22.0,279.0,27.1,7.0,2.1,0.0,0.1,4.47
2705841,"Beef, steak, tenderloin",15.0,196.0,3.56,20.0,387.0,30.5,2.0,4.53,0.0,0.1,4.64
2705842,"Beef, steak, country fried",23.0,306.0,1.8,19.0,247.0,19.9,2.0,1.11,0.0,0.2,3.44
2705843,"Beef, oxtails",13.0,257.0,2.18,20.0,269.0,25.9,3.0,1.8,0.0,0.2,5.06
2705844,"Beef, neck bones",13.0,257.0,2.18,20.0,269.0,25.9,3.0,1.8,0.0,0.2,5.06
2705845,"Beef, shortribs",23.0,253.0,1.34,19.0,293.0,18.2,3.0,1.06,0.2,0.2,3.29
2705846,"Beef, cow head",13.0,257.0,2.18,20.0,269.0,25.9,3.0,1.8,0.0,0.2,5.06
2705847,"Beef, roast",15.0,206.0,2.89,18.0,332.0,29.1,4.0,2.59,0.0,0.0,7.33
2705848,"Beef, pot roast",14.0,251.0,2.91,20.0,282.0,28.4,5.0,3.18,0.0,0.1,10.2
2705849,"Beef, stew meat",14.0,251.0,2.91,20.0,282.0,28.4,5.0,3.18,0.0,0.1,10.2
2705850,"Beef, corned",8.0,251.0,1.86,12.0,145.0,18.2,0.0,1.63,0.0,0.1,4.58
2705851,"Beef, brisket",10.0,231.0,2.74,22.0,285.0,29.4,1.0,2.57,0.0,0.2,7.0
2705852,"Beef, sandwich steak",9.0,326.0,1.86,16.0,233.0,18.3,0.0,1.86,0.0,0.4,4.64
2705853,"Beef, ground, raw",15.0,213.0,2.07,18.0,293.0,18.4,4.0,2.15,0.0,0.1,4.44
2705854,"Beef, ground",24.0,261.0,2.47,20.0,302.0,25.6,3.0,2.7,0.0,0.0,6.2
2705855,"Beef, ground, patty",27.0,272.0,2.41,20.0,294.0,25.4,3.0,2.75,0.0,0.0,6.17
2705856,"Beef, bacon, cooked",9.0,449.0,3.14,27.0,412.0,31.3,0.0,3.45,0.0,0.2,6.37
2705857,"Beef, bacon, reduced sodium, cooked",11.0,541.0,1.44,33.0,565.0,37.0,11.0,1.23,0.0,1.0,3.5
2705858,"Beef, dried, chipped, uncooked",8.0,153.0,2.42,19.0,235.0,31.1,0.0,1.59,0.0,0.0,4.93
2705859,"Beef, dried, chipped, cooked in fat",7.0,225.0,2.19,17.0,213.0,28.1,0.0,1.44,0.0,0.2,4.47
2705862,"Pork, NFS",10.0,192.0,0.79,26.0,402.0,27.1,0.0,0.65,0.0,0.7,2.44
2705863,"Pork, ground",20.0,299.0,1.15,22.0,342.0,26.9,0.0,0.96,0.0,0.5,2.52
2705864,"Pork, carnitas",26.0,271.0,1.72,23.0,299.0,24.6,2.0,0.91,0.0,1.2,4.74
2705866,"Pork, chop, NS as to fat eaten",7.0,183.0,0.61,27.0,429.0,27.5,0.0,0.61,0.0,0.6,1.99
2705867,"Pork, chop, lean and fat eaten",8.0,195.0,0.61,26.0,422.0,27.0,1.0,0.63,0.0,0.6,1.96
2705868,"Pork, chop, lean only eaten",6.0,171.0,0.6,27.0,437.0,28.0,0.0,0.59,0.0,0.6,2.02
2705869,"Pork, chop, coated, NS as to fat eaten",25.0,219.0,1.02,28.0,397.0,25.5,0.0,0.57,0.0,0.5,1.9
2705870,"Pork, chop, coated, lean and fat eaten",26.0,229.0,1.02,28.0,390.0,25.1,1.0,0.59,0.0,0.5,1.87
2705871,"Pork, chop, coated, lean only eaten",24.0,208.0,1.02,28.0,403.0,26.0,0.0,0.56,0.0,0.5,1.92
2705872,"Pork, chop, stuffed",15.0,190.0,0.73,22.0,293.0,18.4,28.0,0.41,0.3,0.4,1.34
2705873,"Pork, steak, NS as to fat eaten",26.0,247.0,1.78,22.0,330.0,25.9,1.0,0.92,0.0,1.1,4.88
2705874,"Pork, steak, lean and fat eaten",26.0,264.0,1.73,22.0,323.0,25.2,1.0,0.94,0.0,1.2,4.7
2705875,"Pork, steak, lean only eaten",25.0,230.0,1.83,23.0,337.0,26.7,0.0,0.91,0.0,1.1,5.07
2705876,"Pork, steak, coated",41.0,275.0,2.05,24.0,310.0,24.2,1.0,0.85,0.0,1.0,4.44
2705877,"Pork, tenderloin",6.0,134.0,1.09,28.0,462.0,24.6,0.0,0.54,0.0,0.2,2.28
2705879,"Ham, prosciutto",10.0,195.0,1.11,25.0,510.0,27.8,0.0,0.88,0.0,0.9,2.81
2705880,"Ham, canned",7.0,167.0,1.07,20.0,351.0,20.9,0.0,0.83,0.0,0.7,2.32
2705881,"Ham, ground",7.0,167.0,1.07,20.0,351.0,20.9,0.0,0.83,0.0,0.7,2.32
2705882,"Pork, roast",7.0,181.0,0.64,25.0,350.0,26.6,0.0,0.56,0.0,0.4,2.12
2705883,"Pork, roll",0.0,329.0,0.63,14.0,399.0,13.1,0.0,0.44,0.0,0.6,1.55
2705894,"Pork, ribs",42.0,254.0,0.83,16.0,236.0,16.2,7.0,0.51,0.2,0.8,2.18
2705895,"Pork, cracklings",28.0,569.0,0.75,10.0,126.0,45.0,16.0,0.61,0.4,0.5,0.62
2705896,"Pork, ears",20.0,236.0,1.1,24.0,338.0,26.2,2.0,0.69,0.1,0.9,3.04
2705897,"Pork, bones",20.0,236.0,1.1,24.0,338.0,26.2,2.0,0.69,0.1,0.9,3.04
2705898,"Pork, pig's feet",0.0,236.0,0.97,5.0,33.0,21.8,0.0,0.41,0.0,0.0,1.04
2705899,"Pork, pig's feet, pickled",32.0,140.0,0.31,11.0,13.0,11.6,11.0,0.21,0.0,0.4,0.2
2705900,"Pork, ham hocks",13.0,268.0,0.71,16.0,257.0,14.6,16.0,0.44,0.0,1.0,1.49
2705901,"Pork, belly",55.0,404.0,1.08,20.0,284.0,26.6,10.0,0.89,0.0,1.6,3.52
2705905,"Lamb, NS as to cut",17.0,292.0,1.86,23.0,308.0,24.3,0.0,2.53,0.0,0.1,4.42
2705906,"Lamb, chop",20.0,264.0,1.89,26.0,349.0,27.4,0.0,2.48,0.0,0.1,3.78
2705907,"Lamb, ground",22.0,281.0,1.78,24.0,336.0,24.6,0.0,2.59,0.0,0.1,4.63
2705927,Wild pig,16.0,159.0,1.11,27.0,393.0,28.1,0.0,0.69,0.0,0.0,2.99
2705929,"Chicken, NS as to part and cooking method, NS as to skin eaten",14.0,164.0,0.73,23.0,279.0,26.8,8.0,0.36,0.0,0.0,1.61
2705930,"Chicken, NS as to part and cooking method, skin eaten",17.0,196.0,0.74,23.0,270.0,25.1,15.0,0.39,0.0,0.0,1.47
2705931,"Chicken, NS as to part and cooking method, skin not eaten",14.0,164.0,0.73,23.0,279.0,26.8,8.0,0.36,0.0,0.0,1.61
2705932,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",8.0,165.0,0.79,26.0,311.0,27.3,8.0,0.29,0.0,0.1,1.54
